id,name,nick_name,wins,losses,draws,height,weight,reach,stance,dob,splm,str_acc,sapm,str_def,td_avg,td_avg_acc,td_def,sub_avg
edd02825c29028fe,Marco Polo Reyes,,8,7,0,180.34,70.31,180.34,Orthodox,"Nov 07, 1984",6.0,37,5.52,59,0.0,0,46,0.0
64ad3e3b0efa30bb,Ivan Erslan,,14,5,0,187.96,92.99,182.88,Orthodox,"Nov 15, 1991",2.5,44,5.17,55,0.5,20,64,0.0
5823ceab56741617,Jonathan Meunier,District,8,1,0,190.5,77.11,,Switch,"Aug 04, 1987",3.47,50,1.43,69,0.58,33,58,0.0
32c3ee378671a5d9,Austin Vanderford,,13,2,0,180.34,77.11,187.96,Orthodox,"Mar 21, 1990",4.08,63,2.66,51,1.77,25,100,1.8
7be74a12d7352df2,Sara McMann,,13,6,0,167.64,61.23,167.64,Orthodox,"Sep 24, 1980",2.26,46,1.92,47,4.38,65,50,0.5
2eeaefbfc7f9fcff,Lina Lansberg,Elbow Queen,10,8,0,170.18,61.23,165.1,Orthodox,"Mar 13, 1982",2.69,55,3.87,44,0.52,27,47,0.1
7ab478c397cd68ef,Aliaskhab Khizriev,Black Wolf,14,0,0,175.26,83.91,187.96,Southpaw,"Aug 24, 1990",6.01,64,4.38,61,5.64,60,100,3.8
93ce4ac89e3d7652,Luke Cummo,,6,6,0,182.88,77.11,187.96,Orthodox,"Apr 27, 1980",1.74,43,1.5,59,0.89,55,42,1.4
4834ff149dc9542a,Norifumi Yamamoto,Kid,18,6,0,162.56,61.23,167.64,Southpaw,"Mar 15, 1977",2.09,45,2.01,57,0.41,22,45,0.0
5a558ba1ff5e9121,Darrill Schoonover,The Boss,14,8,0,187.96,99.79,,Orthodox,"Jul 18, 1985",1.2,33,4.35,38,0.0,0,50,1.1
8349d55cdecd393a,Antonio Silva,Bigfoot,19,12,1,193.04,119.75,208.28,Orthodox,"Sep 14, 1979",2.89,45,3.09,50,0.82,29,66,0.8
4a28cb716c19157a,Stephen Thompson,Wonderboy,17,9,1,182.88,77.11,190.5,Orthodox,"Feb 11, 1983",4.05,46,3.0,54,0.23,35,63,0.0
7ca4c3f8aa8bacae,Paulo Santos,,0,3,0,,,,,,0.0,0,0.0,0,0.0,0,0,0.0
beecb672a279223e,Amanda Ribas,,13,7,0,162.56,52.16,167.64,Orthodox,"Aug 26, 1993",4.26,39,3.29,60,2.05,52,82,0.6
411d012af19ecb59,Chris Spang,The Kiss,6,3,0,187.96,77.11,,Orthodox,"Nov 26, 1987",1.83,36,1.95,60,0.0,0,50,0.9
8be158ca1e5ea6a0,Dwight Grant,The Body Snatcher,11,6,0,185.42,83.91,193.04,Switch,"Sep 14, 1984",3.29,36,2.66,60,0.61,100,66,0.0
d2a9be6bf2de624c,Robert Drysdale,,7,0,0,190.5,92.99,,Orthodox,"Oct 05, 1981",0.0,0,0.0,0,7.32,100,0,21.9
22a92d7f62195791,Tony Ferguson,El Cucuy,26,11,0,180.34,77.11,193.04,Orthodox,"Feb 12, 1984",4.91,45,4.37,55,0.39,35,66,0.9
33011768c3c4dc9a,Terry Etim,,16,5,0,185.42,70.31,185.42,Orthodox,"Jan 11, 1986",2.16,35,2.53,67,0.43,30,39,1.4
9fa3bd637edd9aa2,Patrick Cote,The Predator,23,11,0,180.34,77.11,190.5,Orthodox,"Feb 29, 1980",2.81,48,3.21,48,0.68,20,43,0.2
d6ead04919a894b1,Duda Santana,Cowboyzinha,3,1,0,170.18,65.77,185.42,Orthodox,"Jan 10, 1996",6.01,39,2.72,73,6.44,60,0,0.0
bf43fed8f29e1671,Marcin Held,,23,7,0,175.26,70.31,180.34,Orthodox,"Jan 18, 1992",1.41,34,2.02,47,2.46,46,37,1.3
99c7610aa74995d3,Cathal Pendred,The Punisher,17,4,1,185.42,77.11,190.5,Orthodox,"Sep 02, 1987",2.49,44,3.01,55,2.46,23,83,0.4
dcdd511ff757f15c,Oli Thompson,,17,10,0,185.42,109.77,190.5,Orthodox,"Jan 02, 1980",1.66,46,5.31,46,0.0,0,50,0.5
a26198ba5093147e,TJ Grant,,21,5,0,177.8,70.31,182.88,Orthodox,"Feb 26, 1984",3.95,54,3.21,56,1.63,43,36,0.6
2153a7f8396a46cc,Luiz Dutra,Besouro,13,6,1,180.34,77.11,,Orthodox,"May 06, 1982",3.92,50,4.8,41,0.0,0,100,0.0
064b7dc68d786254,Cain Carrizosa,The Insane,10,3,0,172.72,70.31,,Orthodox,"Jul 22, 1986",2.72,42,5.8,51,0.0,0,14,0.0
88cd34d836b4ebcd,Teruto Ishihara,Yashabo,10,7,2,170.18,61.23,175.26,Southpaw,"Jul 23, 1991",3.26,44,3.63,53,0.5,16,30,0.0
f1175ea3aafbf351,Hu Yaozong,Totoro,3,3,0,190.5,83.91,182.88,Orthodox,"Apr 07, 1995",3.35,48,5.09,35,0.0,0,33,0.4
fb37795db81f93f3,Bogdan Grad,The Unleashed,15,3,0,172.72,65.77,177.8,Orthodox,"Sep 28, 1995",4.44,51,5.4,49,3.31,36,75,0.0
826475cc758e60e6,Rob Wilkinson,Razor,11,2,0,190.5,83.91,203.2,Orthodox,"Feb 22, 1992",2.74,50,5.66,39,4.47,25,0,0.0
7c9c6a884be167fe,Jin Soo Son,,9,4,0,167.64,61.23,175.26,Orthodox,"Apr 01, 1993",5.1,36,7.63,52,1.5,25,100,0.0
809bd1a871491508,Terrance McKinney,T. Wrecks,17,7,0,177.8,70.31,185.42,Switch,"Sep 15, 1994",5.78,56,2.58,47,3.59,40,77,2.2
d549cefc7c54ab78,Reinier de Ridder,RdR,21,2,0,193.04,83.91,198.12,Southpaw,"Sep 07, 1990",2.95,52,2.44,50,2.86,27,66,0.6
f348d05403fad037,Dan Bobish,,17,9,0,187.96,156.49,,Southpaw,"Jan 26, 1970",2.06,44,1.74,34,2.44,42,0,1.6
f7be1db194e03d7e,Pedro Falcao,Pedrinho,16,5,0,167.64,61.23,167.64,Orthodox,"Jul 30, 1992",3.21,48,3.39,50,2.73,25,66,0.0
8b69839f3555a67b,Martin Kampmann,The Hitman,20,7,0,182.88,77.11,182.88,Orthodox,"Apr 17, 1982",3.22,42,3.28,62,1.86,41,78,2.0
74f9448b97bf8bec,Da Woon Jung,Sseda,15,6,1,193.04,92.99,198.12,Orthodox,"Dec 07, 1993",3.24,40,4.23,49,1.59,47,75,0.2
9f5e3c20ce40b344,Klaudia Sygula,,7,2,0,172.72,61.23,175.26,Orthodox,"Dec 30, 1998",5.3,53,4.73,57,0.7,20,33,0.0
8e5d953bdb9ae5e7,Loopy Godinez,,14,5,0,157.48,52.16,154.94,Orthodox,"Sep 06, 1993",4.28,48,3.87,61,3.12,47,81,0.9
f8fe2053d73d7bcf,Nick Catone,The Jersey Devil,10,4,0,182.88,83.91,182.88,Southpaw,"Sep 01, 1981",2.11,44,2.32,63,3.71,44,83,0.5
318e629d1eb7aa49,Richie Hightower,The Dirty Samurai,8,4,0,172.72,77.11,,Orthodox,"Nov 26, 1974",4.62,35,6.92,21,3.46,100,100,0.0
bbfca6d5c27d9cd8,Edwin Figueroa,El Feroz,9,5,0,170.18,61.23,175.26,Orthodox,"Jul 31, 1984",2.57,39,3.06,51,0.2,100,37,0.6
f2477cf43c4975cc,Jonathan Martinez,Dragon,19,6,0,172.72,61.23,177.8,Southpaw,"Apr 20, 1994",4.44,49,4.09,56,0.38,35,68,0.1
feedf3053472fe56,Charles Radtke,Chuck Buffalo,10,5,0,175.26,77.11,182.88,Orthodox,"Jul 09, 1990",3.11,49,3.66,52,0.49,12,100,0.0
7dfb56f24fe5ddea,Bobby Nash,,8,4,0,182.88,77.11,187.96,Orthodox,"Mar 26, 1990",3.42,37,3.95,51,2.37,33,100,1.6
afaad7d6a581e307,Bobby Hoffman,The Truth,36,10,1,187.96,111.13,,Orthodox,"Oct 28, 1968",2.02,70,1.32,19,1.17,50,0,1.2
84a067c46306a737,Sam Hoger,The Alaskan Assassin,10,4,0,187.96,92.99,,Orthodox,"Jun 28, 1980",1.07,25,2.25,57,1.12,38,29,1.3
4665f9f909cd7214,Shinsho Anzai,Animal,10,3,0,170.18,77.11,177.8,Orthodox,"Dec 01, 1985",3.23,58,3.75,45,1.83,16,75,0.0
6c7020b859c7a3ce,Edimilson Souza,Kevin,15,5,0,182.88,65.77,187.96,Orthodox,"Oct 17, 1984",4.65,44,2.91,58,0.0,0,50,0.0
f57dd0bfa8c17813,Mark De La Rosa,Bumblebee,11,5,0,167.64,61.23,165.1,Orthodox,"Aug 31, 1994",3.13,35,5.0,48,0.54,13,40,0.2
c9bbf1a0285a8076,Jeff Cox,The Grinder,10,7,0,177.8,70.31,,Orthodox,"Aug 02, 1968",0.56,25,1.69,33,4.23,50,80,0.0
2db7fa8db6bc9632,Shane Nelson,Sugar,16,7,0,175.26,70.31,177.8,Southpaw,"Nov 29, 1984",1.38,31,2.84,61,1.31,18,54,1.6
1c3f5e85b59ec710,Brian Johnston,,5,5,0,190.5,104.33,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
92b36014314b028b,Peggy Morgan,The Daywalker,4,4,0,185.42,61.23,,,"Dec 16, 1979",2.27,23,8.2,33,0.0,0,50,0.0
37ed1ab2f8b819f4,Brad Riddell,Quake,10,4,0,170.18,70.31,180.34,Orthodox,"Sep 30, 1991",4.71,53,3.53,53,1.77,36,63,0.0
3414b50b08a10600,Antonio McKee,Mandingo,29,6,2,172.72,70.31,,Southpaw,"Mar 12, 1970",1.37,45,0.74,74,1.47,33,57,0.0
c06d554ce1713fd3,Danny Mitchell,The Cheesecake Assassin,19,9,1,187.96,77.11,,Orthodox,"Aug 08, 1986",2.53,49,2.53,52,0.0,0,100,3.0
e86bc32f5997a8f7,Forrest Petz,The Meat Cleaver,26,10,0,175.26,77.11,180.34,Orthodox,"Sep 22, 1975",2.27,29,2.2,57,1.3,100,66,0.0
1f9c371c93dfd3a9,Ryan McGillivray,The Kid,12,0,1,180.34,77.11,,,"Sep 27, 1986",1.27,20,2.2,52,0.0,0,44,0.0
7a359ef685a304a7,Amaury Bitetti,,5,2,0,175.26,83.91,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
33e00249ef08d3a4,Jake Lindsey,The Librarian,12,7,0,180.34,70.31,,Switch,"Jun 21, 1986",3.44,52,4.01,46,0.65,33,50,0.0
f3a853544e4413c4,Anthony Lapsley,The Recipe,23,7,0,175.26,77.11,,Southpaw,"Feb 13, 1980",0.53,34,0.58,66,0.0,0,20,0.0
e51fcd9cd84c0b93,Michel Prazeres,Tractor,26,4,0,167.64,77.11,170.18,Orthodox,"Jul 25, 1981",2.38,47,2.51,57,3.94,36,47,0.6
51b0bb73a1da34bc,Mike Ciesnolevicz,,19,4,0,182.88,106.59,,Orthodox,"Oct 28, 1979",0.51,50,4.62,57,0.0,0,20,5.1
f00ac08ab056af5d,Tagir Ulanbekov,,17,2,0,170.18,56.7,177.8,Southpaw,"Aug 07, 1991",3.37,49,3.36,52,2.94,38,62,1.6
f7a7f7118d4b01b6,Lyoto Machida,The Dragon,24,8,0,185.42,83.91,187.96,Southpaw,"May 30, 1978",2.59,53,1.57,61,1.21,65,75,0.4
1d36f1ac66cf689d,Josh Shockley,,11,4,0,185.42,70.31,,Orthodox,"Nov 15, 1989",1.4,33,1.75,60,0.0,0,61,0.8
a54fc2d6fc224dc3,Jamie Varner,,21,11,1,172.72,70.31,180.34,Orthodox,"Oct 12, 1984",2.92,34,2.55,58,3.49,53,66,0.8
9eb069062a0cfc13,Nolan Ticman,,4,3,0,167.64,56.7,,Orthodox,"May 17, 1988",2.57,47,2.53,67,0.0,0,60,0.0
39d91e95949de3d9,Felicia Spencer,FeeNom,9,3,0,167.64,65.77,172.72,Orthodox,"Nov 29, 1990",3.21,48,4.54,45,1.18,18,27,0.2
c21a036b4e012f1c,John Makdessi,The Bull,18,9,0,172.72,70.31,172.72,Orthodox,"May 03, 1985",5.52,49,4.15,68,0.0,0,86,0.0
a7ddae0be8b78147,Jessamyn Duke,The Gun,3,5,0,180.34,61.23,185.42,Orthodox,"Jun 24, 1986",4.83,53,4.43,57,1.27,36,50,1.9
cfb65863d5099327,Thales Leites,,28,9,0,185.42,83.91,198.12,Orthodox,"Sep 06, 1981",2.13,40,2.99,52,2.1,27,30,1.1
69888118d968ba52,Joshua Weems,Wide Open,11,3,0,172.72,61.23,175.26,Orthodox,"May 05, 1994",5.25,64,3.34,61,4.77,40,100,0.0
f95381efb3051d81,Hugo Viana,Wolverine,8,4,0,167.64,61.23,170.18,Orthodox,"Sep 26, 1982",3.05,38,3.2,57,0.22,6,50,0.0
87f19d19f4cb73f8,Bibulatov Magomed,Chaborz,14,2,0,165.1,56.7,165.1,Orthodox,"Aug 22, 1988",3.6,51,1.83,52,2.85,40,75,0.0
852454c572675334,James Wilks,Lightning,7,4,0,185.42,77.11,190.5,Orthodox,"May 04, 1978",1.82,45,2.03,50,1.27,22,66,3.8
ffd3224638c01b57,Jean Matsumoto,,17,1,0,167.64,61.23,172.72,Orthodox,"Sep 09, 1999",5.43,41,5.43,48,2.14,41,53,0.6
1d239d571e342453,Germaine de Randamie,The Iron Lady,10,5,0,175.26,61.23,180.34,Orthodox,"Apr 24, 1984",2.57,46,2.0,65,0.0,0,65,0.4
f62850b3c7480db9,Keith Mielke,,0,5,0,172.72,83.91,,,,0.0,0,0.0,0,0.0,0,0,0.0
f72465a784c1b084,Jessica Eye,Evil,15,11,0,167.64,56.7,167.64,Orthodox,"Jul 27, 1986",3.86,37,4.19,55,0.58,40,57,0.5
de594b35c45c2e9a,Eduarda Moura,Ronda,12,1,0,167.64,56.7,170.18,Orthodox,"Feb 28, 1994",3.04,37,2.47,61,3.73,37,80,0.3
75a6a390fd5dca46,Juliana Lima,Ju Thai,9,5,0,165.1,52.16,165.1,Orthodox,"Mar 15, 1982",1.94,44,2.11,55,1.72,31,70,0.0
de75d1c45a39e221,Sergio Pettis,,18,5,0,167.64,56.7,175.26,Orthodox,"Aug 18, 1993",3.88,37,2.91,65,0.85,40,67,0.4
058e4e08a1ad8aba,Dale Hartt,,6,3,0,177.8,70.31,175.26,Orthodox,"Apr 04, 1979",1.14,35,1.55,66,1.22,100,25,2.5
21321cdfba797c52,Derrick Noble,The Eraser,27,15,1,175.26,77.11,,Southpaw,"Aug 14, 1978",6.21,40,3.79,59,0.0,0,0,0.0
69a400af4420cd6a,Andreas Stahl,Real Steel,10,4,0,180.34,77.11,,Orthodox,"May 20, 1988",2.83,37,4.74,57,1.55,66,80,0.0
2a4200ead401a9ce,Carls John De Tomas,,6,2,0,165.1,56.7,180.34,Southpaw,"Aug 28, 1996",1.74,37,3.93,44,1.37,33,66,0.0
2cfba6c837c03ed0,Patchy Mix,No Love,20,2,0,180.34,61.23,177.8,Southpaw,"Aug 16, 1993",8.13,40,11.53,42,0.0,0,0,0.0
51c655162e462ceb,Shannon Ross,The Turkish Delight,13,9,0,167.64,56.7,167.64,Switch,"May 12, 1989",5.96,39,7.39,55,0.0,0,100,0.0
33efaf2d0941cfcf,Andre Fialho,,16,8,0,182.88,77.11,187.96,Orthodox,"Apr 07, 1994",3.3,41,6.26,45,0.25,100,66,0.0
3ec1e4ba98c9c85a,JC Cottrell,,17,5,0,175.26,70.31,,Orthodox,"Nov 04, 1989",0.79,25,2.75,45,0.79,100,50,0.0
36e78278a77006d4,Connor Matthews,The Controller,7,4,0,172.72,65.77,180.34,Switch,"May 31, 1992",4.82,43,6.06,55,3.24,55,46,0.7
5ef0088c1b19beeb,Bryan Caraway,Kid Lightning,21,9,0,172.72,61.23,172.72,Orthodox,"Aug 04, 1984",2.53,34,3.61,54,2.57,25,80,0.8
ee779c43a8926d52,Rashad Evans,Suga,19,8,1,182.88,92.99,190.5,Orthodox,"Sep 25, 1979",2.14,37,2.42,63,2.98,44,73,0.0
b369533a577fa97c,Dan Christison,The Sandman,20,7,0,203.2,120.2,,Orthodox,"Apr 26, 1972",4.23,51,3.88,54,0.0,0,37,1.1
d4270315cbcf2569,Jacob Malkoun,Mamba,8,3,0,175.26,83.91,185.42,Orthodox,"Aug 26, 1995",3.86,56,2.48,52,6.62,42,20,0.4
2299605af59fd309,Emmanuel Yarborough,,1,2,0,203.2,349.27,,Open Stance,"Sep 05, 1960",0.0,0,0.0,0,0.0,0,0,0.0
9d83f6da776ff7d6,Roman Kopylov,,14,4,0,182.88,83.91,190.5,Southpaw,"May 04, 1991",4.74,50,5.08,53,1.02,42,87,0.0
7cec3c4a5e7b6d68,Daniel Frunza,,9,3,0,185.42,77.11,185.42,Orthodox,"Apr 13, 1994",6.3,40,6.67,56,0.0,0,60,0.0
a17ad5a5048e8c3f,Darren Stewart,The Dentist,12,8,0,182.88,92.99,187.96,Orthodox,"Dec 30, 1990",3.05,45,3.29,48,1.75,45,67,0.1
b62d5280966b2460,Clayton Carpenter,,8,1,0,167.64,56.7,167.64,Orthodox,"Jun 09, 1996",3.91,55,2.75,55,2.23,46,42,1.5
9450848a71d53776,Lorenz Larkin,The Monsoon,18,6,0,180.34,77.11,182.88,Orthodox,"Sep 03, 1986",3.53,46,2.74,63,0.27,42,79,0.1
87f8699fdcc2c404,Alice Ardelean,,10,7,0,160.02,52.16,157.48,Orthodox,"Apr 19, 1992",6.73,44,5.04,57,1.0,50,87,0.0
30ea504870f8597b,Josh Stansbury,The Sandman,4,8,0,187.96,92.99,187.96,Orthodox,"Nov 19, 1984",3.22,54,3.54,54,0.0,0,87,1.0
e13abac8089a801a,Justin Tafa,Bad Man,7,5,0,182.88,119.75,187.96,Southpaw,"Dec 13, 1993",4.05,54,5.11,47,0.0,0,53,0.0
cc81c92fe2254935,Tom Gallicchio,Da Tank,19,10,0,177.8,77.11,,Southpaw,"Sep 23, 1986",3.53,26,7.07,43,1.0,11,0,0.0
22aa91e402d0fe1f,Ramsey Nijem,,9,6,0,180.34,70.31,190.5,Orthodox,"Apr 01, 1988",3.05,44,1.62,62,5.32,62,55,1.1
86bace9e4ad85542,Xiao Long,,27,9,0,172.72,61.23,177.8,Orthodox,"Apr 13, 1998",5.4,50,4.27,50,0.84,25,77,0.0
8163cd7de0342652,Erick Montano,Perry,7,5,0,182.88,77.11,185.42,Orthodox,"Nov 19, 1985",2.79,44,2.06,64,2.29,36,66,0.0
77350fd0e6d1dba8,Lisa Ellis,,15,11,0,162.56,52.16,,,"Nov 15, 1982",1.68,48,2.32,57,4.19,63,50,0.6
c7e9d15cfce52f1d,Tim Lajcik,The Bohemian,7,6,1,185.42,102.06,,Orthodox,"Jun 21, 1965",0.0,0,0.0,0,0.0,0,0,0.0
4ba8d454f762005d,Zak Cummings,,25,7,0,182.88,92.99,190.5,Southpaw,"Aug 02, 1984",2.96,35,2.91,55,0.62,28,66,0.6
fb3e61720be4690c,Mike Davis,Beast Boy,12,3,0,182.88,70.31,182.88,Orthodox,"Oct 07, 1992",4.73,53,5.23,54,2.4,44,60,0.8
470fedbc8563ac47,Daniel Omielanczuk,,19,8,1,182.88,112.04,187.96,Southpaw,"Aug 31, 1982",3.09,57,3.29,47,0.56,26,68,0.1
bad8be5827ea1bf1,Chris Heatherly,Stump,9,4,0,175.26,70.31,,Orthodox,"Nov 24, 1987",1.08,45,2.67,52,3.39,50,100,0.7
b406da701c479076,Ernest Chavez,EJ,10,2,0,172.72,65.77,177.8,Orthodox,"Jun 27, 1983",2.79,40,3.89,59,0.89,33,50,0.0
a2b06ca02bca14c0,Harold Howard,,1,3,0,187.96,108.86,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
abcf2cc6efc42031,Iasmin Lucindo,,18,6,0,160.02,52.16,167.64,Orthodox,"Jan 08, 2002",3.22,45,2.8,62,2.28,55,68,0.1
e3964ece586e0635,Jacqueline Cavalcanti,,9,1,0,172.72,61.23,177.8,Orthodox,"Aug 29, 1997",5.73,46,3.32,70,0.0,0,84,0.0
9f488f520ed25bbf,Kenichi Yamamoto,,5,12,2,182.88,77.11,,Orthodox,"Jul 11, 1976",0.3,46,1.93,38,0.0,0,10,0.3
39330403ad27c2bb,Patrick Williams,The Animal,8,6,0,172.72,61.23,185.42,Orthodox,"Sep 07, 1981",4.12,51,4.12,52,2.71,41,100,0.5
ccd1299e0345e0ce,Melvin Guillard,The Young Assassin,32,18,2,175.26,70.31,180.34,Orthodox,"Mar 30, 1983",2.96,40,1.85,66,1.3,63,61,0.2
7269329bd87eb479,Christophe Leninger,,3,4,0,182.88,90.72,,Southpaw,,0.0,0,0.0,0,0.0,0,0,0.0
b997be68943010fc,Geoff Neal,Handz of Steel,16,7,0,180.34,77.11,190.5,Southpaw,"Aug 28, 1990",5.05,51,5.44,57,0.56,50,87,0.1
ab35634d1a8c7a11,Flavio Luiz Moura,,19,7,0,180.34,83.01,,Open Stance,,0.67,16,0.0,0,0.0,0,0,0.0
739fd4fbb5d862f4,Rizvan Kuniev,,12,3,1,193.04,108.86,193.04,Orthodox,"Mar 10, 1992",4.45,58,2.45,45,1.45,75,90,0.0
492b202d2064e7a9,Fabricio Werdum,Vai Cavalo,24,9,1,193.04,104.78,195.58,Orthodox,"Jul 30, 1977",3.59,52,2.64,55,1.75,31,31,1.2
025f0b1b58fbad01,Darko Stosic,,13,4,0,182.88,92.99,193.04,Orthodox,"Feb 09, 1992",2.61,45,4.04,58,3.42,50,83,0.0
841695e02c99a521,Mansur Abdul-Malik,,8,0,1,187.96,83.91,203.2,Orthodox,"Oct 07, 1997",4.27,48,3.49,51,0.49,33,82,0.0
7abe471b61725980,Fabricio Camoes,Morango,14,9,1,177.8,70.31,180.34,Orthodox,"Dec 23, 1978",1.29,33,1.85,61,2.34,32,20,1.5
b4ad3a06ee4d660c,Alistair Overeem,The Demolition Man,47,19,0,193.04,120.2,203.2,Orthodox,"May 17, 1980",3.67,64,2.44,57,1.42,55,73,0.8
d683f4870742b273,Shi Ming,,17,5,0,157.48,52.16,152.4,Orthodox,"Nov 14, 1994",3.48,39,3.24,53,0.37,16,58,0.0
c2a7623f398d9bd7,David Dodd,,4,7,0,187.96,90.72,,Orthodox,"Sep 22, 1973",0.0,0,0.0,0,0.0,0,0,0.0
e5d03e4d966126bd,Jason High,The Kansas City Bandit,21,6,0,172.72,70.31,185.42,Southpaw,"Oct 12, 1981",1.28,42,1.56,48,2.36,63,37,2.8
c878270af633eb11,Jordan Wright,The Beverly Hills Ninja,12,5,0,187.96,92.99,195.58,Orthodox,"Oct 07, 1991",4.1,56,6.03,31,2.09,45,100,0.4
9c393e836a852f30,Mauricio Ruffy,,12,1,0,180.34,70.31,190.5,Orthodox,"Jun 17, 1996",4.54,58,4.59,61,0.0,0,100,0.0
e5bda12faabfc850,Luis Henrique,KLB,10,5,0,187.96,110.22,187.96,Orthodox,"Aug 21, 1993",1.81,43,2.22,47,3.09,36,50,1.0
92b62174c175ce19,Clint Hester,Headbussa,11,6,0,187.96,92.99,195.58,Orthodox,"Nov 21, 1986",3.36,42,3.44,56,1.02,35,60,0.0
2c1170b825f58e57,Guangyou Ning,Smasher,5,4,1,162.56,65.77,162.56,Southpaw,"Dec 15, 1981",2.66,41,1.91,61,1.09,50,62,0.3
e9ac7bfb65c25497,John Phillips,The Welsh Wrecking Machine,22,11,0,180.34,83.91,190.5,Southpaw,"Jun 09, 1985",1.72,34,4.03,49,0.0,0,7,0.0
0112352cb32f5026,Denis Tiuliulin,,10,10,0,185.42,83.91,195.58,Orthodox,"May 17, 1988",3.61,41,5.23,38,0.96,42,72,0.0
30a09e43f15f1d75,Paulo Thiago,,18,9,0,180.34,77.11,187.96,Orthodox,"Jan 25, 1981",1.71,39,1.99,63,1.42,31,63,1.2
50a28b9f8314e008,Saidyokub Kakhramonov,,10,3,0,172.72,61.23,175.26,Orthodox,"Nov 14, 1995",2.05,51,0.88,58,6.63,48,83,1.9
84b3e7d38f2d2ec5,Neil Magny,The Haitian Sensation,30,14,0,190.5,77.11,203.2,Orthodox,"Aug 03, 1987",3.45,46,2.47,51,2.15,39,55,0.2
dc07493a87dc0a6e,Alex Reyes,The Executioner,13,5,0,180.34,70.31,185.42,Orthodox,"Oct 02, 1986",4.46,46,6.92,48,1.5,28,0,0.0
ff4c3ab594c7fac3,Cristiano Marcello,,13,6,0,175.26,70.31,182.88,Orthodox,"Dec 03, 1977",2.56,33,3.61,58,0.44,11,20,0.9
5c10da56d712ac9c,Khusein Askhabov,Nohcho,23,1,0,172.72,65.77,175.26,Orthodox,"Feb 13, 1995",2.0,26,4.13,56,0.0,0,66,0.0
